season,unique,episode_title,lamp,outfits,thinking,violence,time,month,year,main_characters,conflict,involvement,possibility,fourth_wall,romance,music,watchability,set,holiday,products,rating,crossovers,guest,consumption,podcast,allusions,search,seconds,creatures,theme
2,WWP035,Helping Hand,0,0,0,0,24.07,2,2,6,1,2,0,0,0,3,1,6,0,0,6.8,0,2,2,1,1,"10,400",0.37,1,0
2,WWP036,Art teacher,0,1,0,1,25.26,3,2,6,2,1,0,0,0,4,1,6,0,0,7.1,0,7,0,1,0,"6,560",0.33,0,0
2,WWP037,Future Harper,0,1,1,0,24.06,3,2,5,2,3,0,1,0,5,0,5,0,0,7.4,0,6,0,1,0,"5,430",0.31,0,0
2,WWP038,Alex Does Good,0,1,0,0,24.28,4,2,6,1,3,0,0,1,4,1,4,0,0,6.9,0,2,3,1,2,"1,950",0.34,0,0
2,WWP039,Hugh's Not Normous,0,0,0,0,24.3,4,2,6,0,0,0,0,0,5,0,5,0,0,6.4,0,1,1,1,0,"2,160",0.33,0,0
2,WWP040,Don't Rain on Justin's Parade -- Earth,0,1,0,1,25.15,4,2,5,1,1,0,0,0,6,0,7,0,0,6.9,0,3,4,0,3,"3,910",0.35,1,0
2,WWP041,Family Game Night,0,0,0,0,23.53,4,2,6,1,2,0,0,1,6,0,8,0,0,7.7,0,1,3,0,2,"38,700",0.41,0,0
2,WWP042,Justin's New Girlfriend,0,1,0,0,24.11,5,2,6,1,3,0,0,0,5,0,6,0,0,7.4,0,0,11,0,4,"4,520",0.38,0,0
2,WWP043,"My Tutor, Tutor",0,1,0,1,24.16,5,2,5,1,2,0,0,1,6,0,4,0,1,7.1,0,0,2,0,1,9,0.26,1,0
2,WWP044,Paint by Committee,0,1,0,1,24.28,6,2,6,1,2,0,0,0,5,0,6,0,0,6.5,0,4,0,0,1,"4,290",0.4,0,0
2,WWP045,Wizard for a Day,0,1,0,1,24.16,7,2,6,1,6,0,0,0,6,0,6,0,0,6.8,0,0,3,0,2,"2,250",0.49,1,0
2,WWP046,Cast Away (To Another Show),0,1,0,1,25.32,7,2,6,1,2,0,0,0,7,0,9,0,0,7.5,1,5,11,0,1,"9,250",0.31,0,0
2,WWP047,Wizards vs Vampires on Waverly Place,0,1,0,0,24.28,7,2,6,1,4,0,0,1,4,1,8,0,0,7.7,0,4,3,0,5,"4,240",0.29,1,0
2,WWP048,Wizards vs Vampires: Tasty Bites,0,1,0,0,24.16,7,2,6,1,2,0,0,1,6,0,8,0,0,7.4,0,3,11,0,1,"2,170",0.3,1,0
2,WWP049,Wizards vs Vampires: Dream Date,0,1,0,0,24.27,8,2,5,1,2,0,0,1,6,0,8,0,0,7,0,3,0,0,0,"4,580",0.4,1,0
2,WWP050,Wizards & Vampires vs. Zombies,0,1,0,1,25.21,8,2,5,1,2,0,0,1,7,0,7,0,0,7.1,0,4,0,0,0,"1,640",0.44,1,0
2,WWP051,Retest,0,1,0,0,24.16,8,2,6,2,5,0,0,0,6,0,6,0,0,7.2,0,4,1,0,0,"7,560",0.34,1,0
3,WWP052,Franken-Girl,0,1,0,1,24.21,10,2,6,1,3,0,0,0,5,0,5,0,0,6.8,0,2,2,0,2,"2,930",0.32,1,0
3,WWP053,Halloween,0,1,0,0,24.29,10,2,6,1,6,0,0,0,7,0,7,1,0,6.7,0,8,4,0,0,"313,000",0.3,1,0
3,WWP054,Monster Hunt,0,0,0,0,24.17,10,2,6,1,2,0,1,0,6,0,5,0,0,6.8,0,3,0,0,1,"2,860",0.34,1,0
3,WWP055,Three Monsters,0,0,0,0,24.57,10,2,5,1,3,0,0,1,5,0,5,0,0,6.8,0,5,0,0,0,"2,720",0.27,1,0
3,WWP056,Night at the Lazerama,1,1,0,1,24.37,11,2,6,1,3,0,0,1,6,0,6,0,0,6.7,0,5,2,0,1,"5,320",0.34,1,0
3,WWP057,Doll House,0,1,0,0,25.03,11,2,6,1,2,0,0,0,5,0,8,0,0,7,0,2,1,0,0,"8,960",0.3,0,0
3,WWP058,Marathoner Harper,0,1,0,0,24.31,12,2,6,1,2,0,0,0,5,0,6,0,0,6.6,0,5,3,0,0,"2,910",0.34,0,0
3,WWP059,Alex Charms a Boy,0,1,0,0,24.52,1,3,5,1,1,0,0,1,7,0,8,0,0,7.2,0,2,0,0,3,"2,170",0.34,1,0
3,WWP060,Wizards vs Werewolves,0,1,0,1,24.17,1,3,6,2,3,0,0,1,6,0,7,0,0,7.8,0,4,5,0,0,"5,120",0.3,1,0
3,WWP061,Wizards verse Werewolves - Part 2,0,1,0,1,24.52,1,3,6,2,3,0,0,1,5,1,7,0,0,7.8,0,4,3,0,0,728,0.44,1,0
3,WWP062,Positive Alex,0,1,0,1,24.26,2,3,6,1,2,0,0,1,6,0,6,0,0,7,0,6,5,0,1,"3,280",0.29,0,0
3,WWP063,Detention Election,0,1,0,1,24.22,3,3,5,0,0,0,0,0,7,0,6,0,0,6.8,0,4,0,0,0,"5,460",0.5,1,0
3,WWP064,Dude Looks Like Shakira,0,1,0,1,24.14,4,3,5,1,3,0,0,0,7,0,5,0,0,7.1,0,3,3,0,0,"6,080",0.36,1,0
3,WWP065,Eat to the Beat,0,1,0,0,23.49,4,3,3,1,3,0,0,0,6,0,7,0,0,5.9,0,3,2,0,3,"5,660",0.47,1,0
3,WWP066,Third Wheel,0,1,0,1,23.34,4,3,4,1,2,0,0,0,5,0,7,0,0,6.6,0,3,3,0,4,"10,700",0.44,1,0
3,WWP067,"The Good, the Bad, and the Alex",0,0,0,1,24.22,5,3,5,2,4,0,0,0,6,0,5,0,0,6.7,0,3,8,0,0,"2,670",0.39,1,0
3,WWP068,Western Show,0,0,0,1,24.37,5,3,5,1,2,0,0,0,5,0,6,0,0,6.4,0,2,4,0,2,"6,100",0.44,0,0
3,WWP069,Alex's Logo,0,1,0,0,24.15,5,3,5,1,2,0,0,0,6,0,6,0,0,6.9,0,1,1,0,0,"2,120",0.36,0,0
3,WWP070,Dad Buggin' Out,0,1,0,1,24.15,6,3,6,1,5,0,0,0,6,0,5,0,0,5.6,0,3,5,0,0,"3,000",0.49,1,0
3,WWP071,Max's Secret Girlfriend,0,1,0,0,24.19,6,3,6,2,6,0,0,1,6,0,6,0,0,6.8,0,1,5,0,2,"2,150",0.64,0,0
3,WWP072,"Alex Russo, Matchmaker?",0,1,0,0,24.22,7,3,6,1,3,0,0,1,6,0,5,0,0,6.6,0,2,3,0,0,"1,480",0.34,0,0
3,WWP073,Delinquent Justin,0,1,0,0,24.26,7,3,5,1,2,0,0,0,4,0,7,0,0,6.9,0,2,0,0,3,"2,060",0.33,0,0
3,WWP074,Captain Jim Bob Sherwood,0,1,0,0,24.22,7,3,6,1,2,0,0,0,5,0,4,0,0,6.2,0,1,8,0,1,"5,120",0.49,1,0
3,WWP075,Wizards vs. Finkles,0,1,0,0,24.31,7,3,5,1,5,0,0,0,6,0,6,0,0,6.2,0,3,1,0,0,"4,590",0.54,0,0
3,WWP076,All About You-Niverse,0,0,0,0,23.23,8,3,4,1,4,0,0,0,8,0,7,0,0,6.6,0,1,3,0,1,"4,150",0.54,0,0
3,WWP077,Uncle Ernesto,0,1,0,0,26.45,8,3,6,1,5,0,0,0,6,0,6,0,0,6.5,0,2,3,0,0,"2,560",0.32,1,0
3,WWP078,Moving On,0,1,0,0,23.22,9,3,6,1,3,0,0,1,7,1,7,0,0,7.1,0,2,1,0,4,"17,500",0.37,1,0
3,WWP079,Wizards Unleashed Part 1,0,0,0,0,24.09,10,3,6,2,3,0,0,1,8,1,8,0,0,7.1,0,7,0,0,0,396,0.4,1,0
3,WWP080,Wizards Unleashed Part 2,0,1,0,0,25.52,10,3,6,2,3,0,1,1,7,1,9,0,0,7.1,0,7,0,0,0,387,0.47,1,0
3,WWP081,Wizards Exposed,0,1,0,0,21.41,10,3,6,2,5,0,0,0,6,0,8,0,0,7.6,0,6,3,0,0,"2,510",0.37,0,0
4,WWP082,Alex Tells The World,0,1,0,0,24.17,11,3,6,2,5,0,0,0,6,0,6,0,0,7.5,0,4,2,0,0,"2,760",0.43,0,1
4,WWP083,Alex Gives Up,0,1,0,0,24.28,11,3,6,2,2,0,0,1,7,0,5,0,0,6.8,0,7,0,0,0,"2,520",0.38,1,1
4,WWP084,Lucky Charmed,0,1,0,0,24.09,12,3,5,1,5,0,0,0,5,0,6,0,0,6.9,0,2,0,0,0,"6,350",0.49,0,1
4,WWP085,Journey to the Center of Mason,0,1,0,0,24.44,12,3,6,1,4,0,0,1,6,0,7,0,0,6.8,0,4,2,0,0,"2,150",0.38,1,1
4,WWP086,Three Maxes and a Little Lady,0,0,0,1,24.27,1,4,6,1,3,0,0,0,5,0,5,0,0,7.2,0,4,1,0,2,"2,440",0.47,0,1
4,WWP087,Daddy's Little Girl,0,1,0,1,24.14,1,4,5,1,3,0,0,0,5,0,6,0,0,6.6,0,3,1,0,0,"7,920",0.46,0,1
4,WWP088,Everything's Rosie for Justin,1,1,0,1,24.24,2,4,5,0,0,0,0,1,5,0,7,0,0,6.7,0,6,0,0,0,"1,750",0.4,1,1
4,WWP089,Dancing With Angels,0,1,0,1,24.14,2,4,5,1,3,0,0,1,6,0,7,0,0,6.9,0,3,1,0,2,"2,690",0.39,1,1
4,WWP090,Wizards vs Angels - Part 1,0,0,0,1,24.24,2,4,5,2,2,0,0,1,7,0,6,0,0,7.6,0,11,1,0,2,"1,130",0.41,1,1
4,WWP091,Wizards vs Angels - Part 2,0,0,0,1,24.24,2,4,5,2,2,0,0,1,6,0,7,0,0,7.6,0,11,1,0,1,"1,010",0.42,1,1
4,WWP092,Back to Max,0,1,0,0,24.43,3,4,6,1,3,0,0,0,5,0,5,0,0,6.8,0,7,0,0,0,"4,250",0.57,1,1
4,WWP093,Zeke Finds Out,0,1,0,0,24.09,4,4,4,2,3,0,0,1,8,1,6,0,0,7.2,0,1,0,0,0,"3,440",0.33,0,1
4,WWP094,Magic Unmasked,0,1,0,1,24.24,5,4,6,1,3,0,0,0,8,0,7,0,0,5.9,0,3,1,0,0,"4,640",0.61,0,1
4,WWP095,Meet the Werewolves,0,1,0,1,24.24,6,4,6,1,3,0,0,0,9,1,6,0,0,6.5,0,5,3,0,0,"2,460",0.42,1,1
4,WWP096,Beast Tamer,0,0,0,1,24.39,6,4,4,1,1,0,0,1,5,0,7,0,0,6.1,0,2,0,0,0,"8,320",0.61,1,1
4,WWP097,Wizard of the Year,0,1,0,1,24.21,7,4,6,1,2,0,0,1,4,0,8,0,0,6.9,0,3,3,0,0,"32,200",0.43,1,1
4,WWP098,Misfortune at the Beach,0,1,0,0,24.19,7,4,6,1,1,0,0,0,5,0,7,0,0,7.2,0,3,3,0,0,"5,650",0.57,1,1
4,WWP099,Wizards vs Asteroids,0,1,0,0,24.11,8,4,6,1,3,0,0,0,6,0,6,0,0,6.6,0,3,1,0,0,208,0.42,0,1
4,WWP100,Justin's Back In,0,0,0,1,25.05,8,4,6,1,2,0,0,0,7,0,8,0,0,6.9,0,4,1,0,0,"2,870",0.51,0,1
4,WWP101,Alex the Puppetmaster,0,1,0,0,25.17,9,4,6,1,2,0,0,0,7,0,7,0,0,6.6,0,5,0,0,0,"4,350",0.53,0,1
4,WWP102,My Two Harpers,0,1,0,0,23.55,9,4,5,1,2,0,0,1,7,0,6,0,0,6.6,0,1,0,0,0,"4,770",0.48,0,1
4,WWP103,Wizards of Apartment 13B,0,1,0,0,24.22,10,4,6,1,1,0,0,0,5,0,7,0,0,7.2,0,4,0,0,0,"4,330",0.46,1,1
4,WWP104,Ghost Roommate,0,1,0,0,24.11,10,4,3,1,2,0,0,1,7,0,7,0,0,6.6,0,7,1,0,0,"4,600",0.51,1,1
4,WWP105,"Get Along, Little Zombie",0,0,0,0,24.24,10,4,4,1,3,0,0,1,5,0,6,0,0,6.7,0,8,0,0,0,"4,510",0.5,1,1
4,WWP106,Wizards vs. Everything,0,1,0,1,24.52,10,4,4,1,4,0,0,0,6,0,8,0,0,7.4,0,8,0,0,0,"1,840",0.37,1,1
4,WWP107,Rock Around the Clock,0,0,0,0,23.42,11,4,6,2,5,0,0,0,5,0,7,0,0,7.7,0,5,0,0,0,"6,510",0.47,0,1
4,WWP108,Harperella,0,0,0,0,24.25,11,4,5,1,2,0,0,1,6,0,6,0,0,6.7,0,3,3,0,2,"6,030",0.46,1,1
4,WWP109,Who Will Be the Family Wizard? Part 1,0,0,0,1,24.37,1,5,6,2,3,0,1,0,7,1,6,0,0,8.3,0,5,1,0,0,"3,370",0.37,1,1
4,WWP110,Who Will Be the Family Wizard? Part 2,0,1,0,1,28.51,1,5,6,2,3,0,1,0,8,1,8,0,0,8.3,0,5,0,0,0,143,0.39,0,1
